Date,State,County,Operation Type,Birds Impacted
03/30/2026,New York,Kings,Live Bird Market,0
03/27/2026,Pennsylvania,Lancaster,Commercial Duck Meat Bird,0
03/26/2026,New Jersey,Hunterdon,WOAH Poultry,0
03/25/2026,Indiana,Elkhart,Commercial Duck Meat Bird,0
03/24/2026,Indiana,Elkhart,Commercial Duck Meat Bird,0
03/24/2026,Indiana,Lagrange,Commercial Duck Meat Bird,0
03/24/2026,Indiana,Lagrange,Commercial Duck Meat Bird,0
03/23/2026,Indiana,Adams,Commercial Duck Breeder,0
03/23/2026,Indiana,Elkhart,Commercial Duck Meat Bird,0
03/23/2026,Indiana,Lagrange,Commercial Duck Meat Bird,0
03/20/2026,Indiana,Elkhart,Commercial Duck Meat Bird,0
03/20/2026,Indiana,Lagrange,Commercial Duck Meat Bird,0
03/20/2026,Utah,Box Elder,WOAH Non-Poultry,0
03/20/2026,West Virginia,Kanawha,WOAH Non-Poultry,0
03/20/2026,Indiana,Elkhart,WOAH Poultry,0
03/19/2026,Indiana,Elkhart,Commercial Duck Meat Bird,0
03/19/2026,Washington,Skagit,WOAH Non-Poultry,0
03/19/2026,Indiana,Lagrange,WOAH Poultry,0
03/17/2026,Indiana,Adams,Commercial Duck Breeder,0
03/17/2026,Indiana,Jay,Commercial Duck Breeder,0
03/17/2026,Indiana,Elkhart,Commercial Duck Meat Bird,0
03/17/2026,Pennsylvania,Lancaster,Commercial Table Egg Layer,900000
03/17/2026,Ohio,Portage,WOAH Non-Poultry,0
03/17/2026,Indiana,Elkhart,WOAH Poultry,0
03/16/2026,Indiana,Elkhart,Commercial Duck Meat Bird,0
03/13/2026,Maryland,Cecil,Commercial Table Egg Pullets,400000
03/13/2026,Michigan,Kent,Commercial Turkey Meat Bird,100000
03/12/2026,Pennsylvania,Lancaster,Commercial Broiler Production,0
03/12/2026,Michigan,Kent,Commercial Turkey Meat Bird,0
03/12/2026,New York,Kings,Live Bird Market,0
03/12/2026,New York,Kings,Live Bird Market,0
03/12/2026,New York,Kings,Live Bird Market,0
03/11/2026,Indiana,Elkhart,Commercial Duck Meat Bird,0
03/11/2026,Indiana,Elkhart,Commercial Duck Meat Bird,0
03/11/2026,Indiana,Lagrange,Commercial Duck Meat Bird,0
03/11/2026,Indiana,Lagrange,Commercial Duck Meat Bird,0
03/11/2026,New York,Queens,Live Bird Market,0
03/11/2026,Nebraska,Valley,WOAH Non-Poultry,0
03/10/2026,Indiana,Elkhart,Commercial Duck Meat Bird,0
03/10/2026,Indiana,Elkhart,Commercial Duck Meat Bird,0
03/10/2026,Indiana,Lagrange,Commercial Duck Meat Bird,0
03/10/2026,Wisconsin,Walworth,Commercial Table Egg Layer,1500000
03/10/2026,Wisconsin,Jefferson,Commercial Table Egg Pullets,1600000
03/10/2026,Indiana,Jay,Commercial Turkey Meat Bird,0
03/10/2026,Indiana,Lagrange,WOAH Poultry,0
03/09/2026,Indiana,Elkhart,Commercial Duck Meat Bird,0
03/09/2026,New York,Queens,Live Bird Market,0
03/09/2026,Kansas,Sedgwick,WOAH Non-Poultry,0
03/09/2026,Tennessee,Hawkins,WOAH Non-Poultry,0
03/09/2026,Indiana,Lagrange,WOAH Poultry,0
03/09/2026,Indiana,Elkhart,WOAH Poultry,0
03/06/2026,Pennsylvania,Lancaster,Commercial Table Egg Layer,200000
03/06/2026,Illinois,Lawrence,Commercial Turkey Meat Bird,0
03/06/2026,New York,Kings,Live Bird Market,0
03/05/2026,Illinois,Lawrence,Commercial Turkey Meat Bird,100000
03/05/2026,Iowa,Buena Vista,WOAH Non-Poultry,0
03/05/2026,Indiana,Elkhart,WOAH Poultry,0
03/04/2026,Iowa,Washington,WOAH Non-Poultry,0
03/04/2026,Wisconsin,Dane,WOAH Non-Poultry,0
03/03/2026,Indiana,Lagrange,Commercial Duck Meat Bird,0
03/03/2026,Illinois,Crawford,Commercial Turkey Meat Bird,0
03/03/2026,Florida,Orange,Live Bird Market,0
03/03/2026,Indiana,Hendricks,WOAH Non-Poultry,0
03/03/2026,Indiana,Crawford,WOAH Poultry,0
03/02/2026,Maryland,Caroline,Commercial Broiler Production,100000
03/02/2026,New York,Kings,Live Bird Market,0
03/02/2026,Delaware,Sussex,WOAH Non-Poultry,0
03/02/2026,New Jersey,Monmouth,WOAH Non-Poultry,0
03/02/2026,Colorado,Weld,WOAH Poultry,0
02/27/2026,Delaware,Kent,Commercial Broiler Production,0
02/27/2026,Indiana,Lagrange,Commercial Duck Breeder,0
02/27/2026,Indiana,Lagrange,Commercial Duck Meat Bird,0
02/27/2026,North Carolina,Hyde,Commercial Table Egg Layer,3300000
02/27/2026,Wisconsin,Jefferson,Commercial Table Egg Layer,1200000
