Date,State,County,Species,Strain
03/25/2026,North Dakota,Burleigh,Goose (unidentified),EA H5
03/24/2026,Washington,Walla Walla,Snow goose,EA H5
03/23/2026,New York,Ulster,American crow,EA H5
03/23/2026,New York,New York,Canada goose,EA H5
03/23/2026,New York,Suffolk,Peregrine falcon,EA H5
03/23/2026,New York,Suffolk,Canada goose,EA H5
03/23/2026,New York,St. Lawrence,Bald eagle,EA H5
03/23/2026,Minnesota,Polk,Trumpeter swan,EA H5
03/19/2026,Wisconsin,Dane,Red-tailed hawk,EA H5
03/18/2026,Pennsylvania,Northampton,Turkey vulture,EA H5
03/18/2026,Pennsylvania,Dauphin,Great horned owl,EA H5
03/17/2026,Washington,Pacific,Dunlin,EA H5N1
03/16/2026,New York,Bronx,Canada goose,EA H5
03/16/2026,New York,Westchester,Mute swan,EA H5
03/16/2026,New York,Montgomery,Red-tailed hawk,EA H5
03/16/2026,New York,Dutchess,Barred owl,EA H5
03/16/2026,New York,New York,Canada goose,EA H5
03/16/2026,New York,Albany,Red-tailed hawk,EA H5
03/16/2026,New York,Ulster,Red-tailed hawk,EA H5
03/16/2026,New York,Ulster,Red-tailed hawk,EA H5
03/16/2026,California,Yolo,Red-tailed hawk,EA H5
03/16/2026,Pennsylvania,Bucks,Common merganser,EA H5
03/16/2026,Pennsylvania,Bucks,Great blue heron,EA H5
03/14/2026,New Jersey,Hunterdon,Bald eagle,EA H5
03/14/2026,New Jersey,Hunterdon,Bald eagle,EA H5
03/13/2026,Utah,Weber,Gull (unidentified),EA H5
03/13/2026,Utah,Box Elder,Tundra swan,EA H5
03/13/2026,New York,Bronx,Canada goose,EA H5
03/13/2026,New York,Nassau,Red-tailed hawk,EA H5
03/13/2026,Alaska,Aleutians East,Brant,EA H5N1
03/12/2026,New York,Wayne,Canada goose,EA H5
03/12/2026,New Hampshire,Rockingham,Snowy owl,EA H5
03/12/2026,Michigan,Berrien,Canada goose,EA H5
03/11/2026,New York,Bronx,Red-tailed hawk,EA H5
03/11/2026,Michigan,Unknown,Bald eagle,EA H5
03/11/2026,California,Santa Cruz,Western gull,EA H5N1
03/11/2026,California,Santa Cruz,Sanderling,EA H5N1
03/11/2026,Florida,Hendry,Black vulture,EA H5
03/11/2026,South Carolina,Charleston,Black vulture,EA H5
03/10/2026,Washington,Pacific,Dunlin,EA H5N1
03/10/2026,Wisconsin,Walworth,House sparrow,EA H5
03/10/2026,Pennsylvania,Carbon,Bald eagle,EA H5
03/10/2026,Alabama,Lee,Bald eagle,EA H5
03/09/2026,Iowa,Black Hawk,Canada goose,EA H5
03/09/2026,New York,Bronx,Mallard,EA H5
03/09/2026,New York,Bronx,Canada goose,EA H5
03/09/2026,Michigan,Ottawa,Common merganser,EA H5
03/09/2026,Michigan,Ingham,American crow,EA H5
03/09/2026,New York,Steuben,Great horned owl,EA H5
03/09/2026,New York,Ontario,Red-tailed hawk,EA H5
03/09/2026,New York,Livingston,Red-shouldered hawk,EA H5
03/09/2026,New York,Saratoga,Mute swan,EA H5
03/09/2026,New York,Nassau,Red-tailed hawk,EA H5
03/09/2026,New York,Richmond,Canada goose,EA H5
03/09/2026,Pennsylvania,Lancaster,Canada goose,EA H5
03/09/2026,Pennsylvania,Lancaster,Snow goose,EA H5
03/08/2026,Texas,Bexar,Vulture (unidentified),EA H5
03/08/2026,Indiana,Brown,Bald eagle,EA H5
03/07/2026,Virginia,Augusta,Wood duck,EA H5
03/07/2026,Ohio,Knox,Canada goose,EA H5
03/07/2026,Pennsylvania,Carbon,Canada goose,EA H5
03/06/2026,Iowa,Harrison,Snow goose,EA/AM H5N1
03/06/2026,Iowa,Story,Canada goose,EA/AM H5N1
03/06/2026,Iowa,Des Moines,Canada goose,EA H5
03/06/2026,Iowa,Worth,Trumpeter swan,EA/AM H5N1
03/06/2026,Iowa,Unknown,Red-tailed hawk,EA/AM H5N1
03/06/2026,Iowa,Woodbury,Snow goose,EA/AM H5N1
03/06/2026,Wyoming,Laramie,Goose (unidentified),EA H5
03/06/2026,Maine,Penobscot,Mallard,EA H5
03/06/2026,Pennsylvania,Carbon,Canada goose,EA H5
03/06/2026,Pennsylvania,Warren,Common raven,EA H5
03/05/2026,North Carolina,Dare,Red-shouldered hawk,EA/AM H5N1
03/05/2026,New York,Bronx,Canada goose,EA/AM H5N1
03/05/2026,New York,Bronx,Canada goose,EA/AM H5N1
03/05/2026,New York,Bronx,Canada goose,EA/AM H5N1
03/05/2026,Nevada,Washoe,Canada goose,EA H5
03/05/2026,Wisconsin,Jefferson,House sparrow,EA H5
03/05/2026,Pennsylvania,Chester,Canada goose,EA H5
03/05/2026,Pennsylvania,Bucks,Canada goose,EA H5
03/05/2026,Pennsylvania,Montgomery,Canada goose,EA H5
03/05/2026,Pennsylvania,Philadelphia,Canada goose,EA H5
03/04/2026,New York,Suffolk,American crow,EA H5
03/04/2026,New York,Suffolk,American crow,EA H5
03/04/2026,New York,Suffolk,Canada goose,EA H5
03/04/2026,New York,New York,Great blue heron,EA/AM H5N1
03/04/2026,Nevada,Washoe,Canada goose,EA H5
03/04/2026,Nevada,Washoe,Canada goose,EA H5
03/04/2026,Maine,Penobscot,Mallard,EA H5
03/04/2026,Wisconsin,Jefferson,European Starling,EA H5
03/04/2026,Wisconsin,Jefferson,House sparrow,EA H5
03/04/2026,Tennessee,Hawkins,Black vulture,EA H5
03/04/2026,Wisconsin,Fond du Lac,Canada goose,EA H5
03/04/2026,Wisconsin,Fond du Lac,Canada goose,EA H5
03/03/2026,Louisiana,Orleans,Crow (unidentified),EA H5
03/03/2026,Iowa,Unknown,Red-tailed hawk,EA H5N1
03/03/2026,Minnesota,Olmsted,Great horned owl,EA H5
03/02/2026,New York,Franklin,Mute swan,EA/AM H5N1
03/02/2026,New York,Bronx,Canada goose,EA H5
03/02/2026,New York,Bronx,Canada goose,EA H5
03/02/2026,Utah,Duchesne,Bald eagle,EA H5
03/02/2026,California,San Mateo,Western gull,EA H5N1
03/02/2026,California,San Mateo,Western gull,EA H5N1
03/02/2026,Pennsylvania,Chester,Canada goose,EA H5
02/28/2026,California,San Francisco,Western gull,EA H5N1
02/28/2026,California,San Francisco,Herring gull,EA H5N1
02/27/2026,Maryland,Talbot,Canada goose,EA/AM H5N1
02/27/2026,New York,Montgomery,American crow,EA/AM H5N1
02/27/2026,New York,Montgomery,Common raven,EA/AM H5N1
02/27/2026,New York,Columbia,Red-tailed hawk,EA/AM H5N1
02/27/2026,New York,Albany,Canada goose,EA H5
02/27/2026,Minnesota,Scott,Mallard,EA H5
02/27/2026,Pennsylvania,Bucks,Turkey vulture,EA H5
02/27/2026,Pennsylvania,Montgomery,Canada goose,EA H5
02/27/2026,Pennsylvania,Bucks,Canada goose,EA H5
02/26/2026,Ohio,Warren,Canada goose,EA H5
02/26/2026,New York,Bronx,Canada goose,EA/AM H5N1
02/26/2026,New York,Bronx,Canada goose,EA/AM H5N1
02/26/2026,Pennsylvania,Venango,Canada goose,EA H5
02/26/2026,Pennsylvania,Venango,Bald eagle,EA H5
02/26/2026,Pennsylvania,Crawford,Trumpeter swan,EA H5
02/26/2026,New York,Bronx,Trumpeter swan,EA H5
02/25/2026,Maryland,Kent,Canada goose,EA/AM H5N1
02/25/2026,Maryland,Queen Anne's,Canada goose,EA/AM H5N1
02/25/2026,Maryland,Kent,Canada goose,EA/AM H5N1
02/25/2026,Ohio,Unknown,Canada goose,EA H5
02/25/2026,Ohio,Unknown,Canada goose,EA/AM H5N1
02/25/2026,Ohio,Unknown,Canada goose,EA/AM H5N1
02/25/2026,Maine,Lincoln,American black duck,EA H5
02/25/2026,Maine,Lincoln,American black duck,EA H5
02/25/2026,Illinois,Kane,Canada goose,EA H5
02/24/2026,Ohio,Knox,Canada goose,EA/AM H5N1
02/24/2026,Ohio,Champaign,Bald eagle,EA/AM H5N1
02/24/2026,Maine,Penobscot,Mallard,EA H5
02/24/2026,Wyoming,Park,Great horned owl,EA/AM H5N1
02/24/2026,Pennsylvania,Beaver,Canada goose,EA H5
02/24/2026,California,San Francisco,Western gull,EA H5N1
02/24/2026,California,San Francisco,Herring gull,EA H5N1
02/24/2026,Wisconsin,Portage,Canada goose,EA H5
02/23/2026,Ohio,Brown,Canada goose,EA H5
02/23/2026,Ohio,Brown,Canada goose,EA/AM H5N1
02/23/2026,Ohio,Scioto,Canada goose,EA H5
02/23/2026,Ohio,Pike,Canada goose,EA/AM H5N1
02/23/2026,Ohio,Washington,Canada goose,EA H5
02/23/2026,Ohio,Washington,Canada goose,EA/AM H5N1
02/23/2026,Ohio,Pike,Canada goose,EA/AM H5N1
02/23/2026,Florida,Orange,Mute swan,EA H5
02/23/2026,New Jersey,Ocean,Canada goose,EA/AM H5N1
02/23/2026,Maryland,Carroll,Canada goose,EA H5
02/23/2026,Ohio,Morrow,Canada goose,EA H5
02/23/2026,Minnesota,Scott,Mallard,EA/AM H5
02/23/2026,Minnesota,Scott,Mallard,EA H5 mixed
02/23/2026,Pennsylvania,Berks,Fish crow,EA H5
02/23/2026,Pennsylvania,Berks,Snow goose,EA H5
02/23/2026,Pennsylvania,Montgomery,Turkey vulture,EA H5
02/23/2026,Pennsylvania,Lancaster,Canada goose,EA H5
02/23/2026,Pennsylvania,Lehigh,Canada goose,EA H5
02/22/2026,New York,Sullivan,American crow,EA/AM H5N1
02/22/2026,West Virginia,Putnam,Canada goose,EA/AM H5N1
02/21/2026,New York,Bronx,Trumpeter swan,EA/AM H5N1
02/21/2026,California,San Francisco,Western gull,EA H5
02/21/2026,California,San Francisco,Western gull,EA H5N1
02/20/2026,New York,Bronx,Canada goose,EA/AM H5N1
02/20/2026,New York,Suffolk,Red-tailed hawk,EA/AM H5N1
02/20/2026,New York,Suffolk,Red-tailed hawk,EA/AM H5N1
02/20/2026,New York,Ulster,Canada goose,EA/AM H5N1
02/20/2026,New York,Albany,Canada goose,EA H5
02/20/2026,New York,Dutchess,Canada goose,EA/AM H5N1
02/20/2026,New York,Westchester,Red-shouldered hawk,EA/AM H5N1
02/20/2026,Indiana,Monroe,Canada goose,EA H5
02/20/2026,California,San Francisco,Western gull,EA H5N1
02/20/2026,California,San Francisco,Western gull,EA H5N1
02/19/2026,Colorado,Weld,Red-tailed hawk,EA/AM H5N1
02/19/2026,Indiana,Shelby,Bald eagle,EA H5
02/19/2026,Ohio,Hardin,Red-tailed hawk,EA/AM H5N1
02/19/2026,Ohio,Hardin,Canada goose,EA/AM H5N1
02/19/2026,Ohio,Hardin,Canada goose,EA H5
02/19/2026,Maine,Lincoln,American black duck,EA H5
02/19/2026,Ohio,Wood,Canada goose,EA/AM H5N1
02/19/2026,Ohio,Wood,Canada goose,EA/AM H5N1
02/19/2026,Maine,Penobscot,Mallard,EA H5
02/19/2026,Maine,Penobscot,Mallard,EA H5
02/19/2026,Maine,Penobscot,Mallard,EA H5
02/19/2026,New York,Nassau,Common raven,EA/AM H5N1
02/19/2026,Indiana,Vigo,Greater white-fronted goose,EA H5
02/19/2026,Idaho,Canyon,Snow goose,EA H5
02/19/2026,Pennsylvania,Crawford,Red-tailed hawk,EA H5
02/19/2026,Pennsylvania,Berks,Canada goose,EA H5
02/19/2026,Pennsylvania,Bucks,Canada goose,EA H5
02/18/2026,Connecticut,Fairfield,Duck (unidentified),EA/AM H5N1
02/18/2026,New Jersey,Gloucester,Canada goose,EA/AM H5N1
02/18/2026,New Jersey,Gloucester,Canada goose,EA/AM H5N1
02/18/2026,New York,Suffolk,Canada goose,EA/AM H5N1
02/18/2026,New York,Suffolk,Canada goose,EA H5
02/18/2026,Massachusetts,Barnstable,Mallard,EA H5
02/18/2026,Massachusetts,Barnstable,Mallard,EA/AM H5N1 mixed
02/18/2026,Minnesota,Stearns,Hawk (unidentified),EA H5
02/18/2026,California,Solano,Red-tailed hawk,EA/AM H5N1
02/18/2026,California,Imperial,Ring-billed gull,EA/AM H5N1
02/18/2026,Maine,Lincoln,American black duck,EA H5
02/18/2026,West Virginia,Harrison,Canada goose,EA H5
02/18/2026,Virginia,Fauquier,Canada goose,EA/AM H5N1
02/18/2026,Virginia,Fauquier,Canada goose,EA/AM H5N1
02/18/2026,Kansas,Marion,Bald eagle,EA H5
02/18/2026,California,Imperial,Ring-billed gull,EA/AM H5N1
02/18/2026,New Mexico,Eddy,Green-winged teal,EA H5
02/18/2026,New Jersey,Ocean,Snowy owl,EA H5
02/18/2026,Pennsylvania,Crawford,Cooper's hawk,EA H5
02/18/2026,Pennsylvania,Northampton,Canada goose,EA H5
02/18/2026,Pennsylvania,Westmoreland,Canada goose,EA H5
02/18/2026,Pennsylvania,Allegheny,Canada goose,EA H5
02/18/2026,Pennsylvania,Beaver,Canada goose,EA H5
02/18/2026,California,San Francisco,Western gull,EA H5N1
02/18/2026,California,San Francisco,Western gull,EA H5N1
02/18/2026,Illinois,Richland,Canada goose,EA H5
02/17/2026,Iowa,Story,Canada goose,EA H5
02/17/2026,Iowa,Story,American crow,EA/AM H5N1
02/17/2026,New Jersey,Middlesex,Canada goose,EA/AM H5N1
02/17/2026,New Jersey,Middlesex,Canada goose,EA/AM H5N1
02/17/2026,New Jersey,Middlesex,Canada goose,EA/AM H5N1
02/17/2026,New Jersey,Somerset,Canada goose,EA H5
02/17/2026,New Jersey,Somerset,Canada goose,EA H5
02/17/2026,New Jersey,Somerset,Canada goose,EA H5
02/17/2026,Ohio,Ashland,Canada goose,EA/AM H5N1
02/17/2026,Ohio,Ashland,American crow,EA/AM H5N1
02/17/2026,Ohio,Ashland,Trumpeter swan,EA/AM H5N1
02/17/2026,Ohio,Ashland,Canada goose,EA/AM H5N1
02/17/2026,Ohio,Ashland,American crow,EA/AM H5N1
02/17/2026,Ohio,Ashland,Trumpeter swan,EA/AM H5N1
02/17/2026,Ohio,Licking,Canada goose,EA/AM H5N1
02/17/2026,Ohio,Licking,Canada goose,EA/AM H5N1
02/17/2026,Ohio,Licking,Canada goose,EA H5
02/17/2026,Colorado,Larimer,Red-tailed hawk,EA/AM H5N1
02/17/2026,New Jersey,Camden,Canada goose,EA/AM H5N1
02/17/2026,New Jersey,Camden,Canada goose,EA/AM H5N1
02/17/2026,New Jersey,Camden,Canada goose,EA/AM H5N1
02/17/2026,New Jersey,Camden,Canada goose,EA/AM H5N1
02/17/2026,New Jersey,Burlington,Canada goose,EA/AM H5N1
02/17/2026,New Jersey,Burlington,Canada goose,EA/AM H5N1
02/17/2026,New Jersey,Burlington,Canada goose,EA/AM H5N1
02/17/2026,New Jersey,Burlington,Canada goose,EA/AM H5N1
02/17/2026,New Jersey,Burlington,Canada goose,EA/AM H5N1
02/17/2026,New York,Suffolk,Bald eagle,EA H5
02/17/2026,New York,Greene,Canada goose,EA H5
02/17/2026,New York,Greene,Canada goose,EA H5
02/17/2026,New York,Greene,Canada goose,EA H5
02/17/2026,Connecticut,Fairfield,Mallard,EA H5
02/17/2026,Ohio,Madison,Tundra swan,EA/AM H5N1
02/17/2026,Colorado,Weld,Rock pigeon,EA/AM H5N1
02/17/2026,Connecticut,New Haven,Mallard,EA H5
02/17/2026,Pennsylvania,Berks,Canada goose,EA/AM H5N1
02/17/2026,Pennsylvania,Lehigh,American crow,EA H5
02/17/2026,Pennsylvania,Lehigh,American crow,EA/AM H5N1
02/17/2026,Alaska,Matanuska-Susitna,Mallard,EA H5N1
02/17/2026,Missouri,Bollinger,Trumpeter swan,EA H5
02/17/2026,Pennsylvania,Washington,Canada goose,EA H5
02/17/2026,Pennsylvania,Washington,Canada goose,EA H5
02/17/2026,Pennsylvania,Bucks,Canada goose,EA H5
02/16/2026,North Carolina,Bertie,Wood duck,EA H5
02/16/2026,Kansas,Ottawa,Cackling goose,EA/AM H5N1
02/16/2026,Connecticut,New Haven,Red-tailed hawk,EA/AM H5N1
02/16/2026,Connecticut,New Haven,Red-tailed hawk,EA/AM H5N1
02/16/2026,New Mexico,Unknown,Goose (unidentified),EA/AM H5N1
02/16/2026,Missouri,Monroe,Snow goose,EA/AM H5N1
02/16/2026,Pennsylvania,Erie,Canada goose,EA H5
02/16/2026,California,San Francisco,Western gull,EA H5N1
02/16/2026,California,San Francisco,Western gull,EA H5N1
02/14/2026,Colorado,Weld,Red-tailed hawk,EA H5
02/14/2026,Wyoming,Goshen,Owl (unidentified),EA/AM H5N1
02/14/2026,Colorado,Weld,Rock pigeon,EA/AM H5N1
02/14/2026,Pennsylvania,Pike,Bald eagle,EA H5
02/13/2026,Iowa,Story,Canada goose,EA/AM H5N1
02/13/2026,Kentucky,Ballard,Snow goose,EA/AM H5N1
02/13/2026,Tennessee,Coffee,Canada goose,EA H5
02/13/2026,North Carolina,Beaufort,Tundra swan,EA H5
02/13/2026,Tennessee,Coffee,Canada goose,EA H5
02/13/2026,Georgia,Paulding,Canada goose,EA H5
02/13/2026,Tennessee,Coffee,Canada goose,EA H5
02/13/2026,West Virginia,Raleigh,Canada goose,EA H5
02/13/2026,Tennessee,Washington,Black vulture,EA/AM H5N1
02/13/2026,Tennessee,Washington,Black vulture,EA/AM H5N1
02/13/2026,Kansas,Saline,Cackling goose,EA H5
02/13/2026,Kentucky,Ballard,Snow goose,EA/AM H5N1
02/13/2026,Oklahoma,Payne,Canada goose,EA/AM H5N1
02/13/2026,Kentucky,McCracken,Canada goose,EA/AM H5N1
02/13/2026,Kentucky,Mason,Black vulture,EA H5
02/13/2026,Colorado,Larimer,Great horned owl,EA H5
02/13/2026,Indiana,Jennings,American crow,EA H5
02/13/2026,Ohio,Adams,Canada goose,EA H5
02/13/2026,Ohio,Adams,Canada goose,EA H5
02/13/2026,New York,Bronx,Mallard,EA/AM H5N1
02/13/2026,Kansas,Butler,Canada goose,EA/AM H5N1
02/13/2026,Kansas,Butler,Cackling goose,EA/AM H5N1
02/13/2026,Oregon,Columbia,Mallard,EA H5
02/13/2026,Oregon,Columbia,Mallard,EA H5
02/13/2026,Oregon,Columbia,Mallard,EA H5
02/13/2026,Oregon,Columbia,Mallard,EA/AM H5N1
02/13/2026,Oregon,Columbia,Mallard,EA H5
02/13/2026,Colorado,Weld,Western meadowlark,EA H5
02/13/2026,Colorado,Weld,House sparrow,EA H5
02/13/2026,Colorado,Weld,Rock pigeon,EA/AM H5N1
02/13/2026,Pennsylvania,Lehigh,American crow,EA H5
02/13/2026,Pennsylvania,Berks,Red-tailed hawk,EA/AM H5N1
02/13/2026,Pennsylvania,Berks,Canada goose,EA H5
02/13/2026,Kentucky,Rockcastle,Canada goose,EA H5
02/13/2026,Kentucky,Rockcastle,Canada goose,EA H5
02/13/2026,Georgia,Clarke,Bald eagle,EA/AM H5N1
02/13/2026,Pennsylvania,Erie,Canada goose,EA H5
02/12/2026,Colorado,Weld,Goose (unidentified),EA/AM H5N1
02/12/2026,Indiana,Posey,American crow,EA/AM H5N1
02/12/2026,Maine,Lincoln,American black duck,EA H5
02/12/2026,Oregon,Columbia,Mallard,EA H5
02/12/2026,Colorado,Weld,Rock pigeon,EA/AM H5N1
02/12/2026,Kentucky,Ballard,Mallard,EA/AM H5N1
02/12/2026,Kentucky,Ballard,Wood duck,EA/AM H5N1
02/12/2026,Kentucky,Ballard,Greater white-fronted goose,EA H5
02/12/2026,California,San Francisco,Western gull,EA H5N1
02/11/2026,Georgia,Carroll,Black vulture,EA/AM H5N1
02/11/2026,Georgia,Carroll,Black vulture,EA/AM H5N1
02/11/2026,Nebraska,Saunders,Canada goose,EA/AM H5N1
02/11/2026,Nebraska,Butler,Cackling goose,EA/AM H5N1 mixed
02/11/2026,New Hampshire,Grafton,Mallard,EA H5
02/11/2026,Colorado,Weld,Owl (unidentified),EA/AM H5N1
02/11/2026,New York,Erie,American crow,EA H5
02/11/2026,New York,Orange,Bald eagle,EA/AM H5N1
02/11/2026,New York,Putnam,Canada goose,EA/AM H5N1
02/11/2026,New York,Nassau,American crow,EA/AM H5N1
02/11/2026,Ohio,Crawford,Canada goose,EA H5
02/11/2026,Ohio,Crawford,Canada goose,EA/AM H5N1
02/11/2026,Indiana,Jennings,Canada goose,EA/AM H5N1
02/11/2026,California,Yolo,Owl (unidentified),EA H5
02/11/2026,New Jersey,Monmouth,Canada goose,EA/AM H5N1
02/11/2026,New Jersey,Monmouth,Canada goose,EA/AM H5N1
02/11/2026,New Jersey,Monmouth,Canada goose,EA/AM H5N1
02/11/2026,New Jersey,Monmouth,Canada goose,EA H5
02/11/2026,New Jersey,Monmouth,Canada goose,EA/AM H5N1
02/11/2026,Missouri,Lewis,Trumpeter swan,EA/AM H5N1
02/11/2026,Missouri,Lewis,Trumpeter swan,EA/AM H5N1
02/11/2026,Missouri,Lewis,Canada goose,EA/AM H5N1
02/11/2026,New York,Albany,Canada goose,EA H5
02/11/2026,Oregon,Columbia,Mallard,EA/AM H5N1 mixed
02/11/2026,Oregon,Columbia,Mallard,EA/AM H5N1 mixed
02/11/2026,Oregon,Columbia,Mallard,EA/AM H5N1
02/11/2026,Oregon,Columbia,Mallard,EA/AM H5N1
02/11/2026,Oregon,Columbia,Mallard,EA H5
02/11/2026,Oregon,Columbia,Mallard,EA/AM H5N1
02/11/2026,Oregon,Columbia,Mallard,EA H5
02/11/2026,Oregon,Columbia,Mallard,EA/AM H5N1
02/11/2026,Oregon,Columbia,Mallard,EA/AM H5N1
02/11/2026,Oregon,Columbia,Mallard,EA H5
02/11/2026,Oregon,Columbia,Mallard,EA H5
02/11/2026,Oregon,Columbia,Mallard,EA H5
02/11/2026,Colorado,Weld,Rock pigeon,EA H5
02/11/2026,Colorado,Weld,House sparrow,EA/AM H5N1
02/11/2026,Colorado,Weld,Rock pigeon,EA/AM H5N1
02/11/2026,Colorado,Weld,Rock pigeon,EA/AM H5N1
02/11/2026,Pennsylvania,Huntington,American crow,EA/AM H5N1
02/11/2026,Pennsylvania,Westmoreland,Canada goose,EA/AM H5N1
02/11/2026,Pennsylvania,Allegheny,Canada goose,EA H5
02/11/2026,Missouri,Linn,Canada goose,EA H5
02/10/2026,Oklahoma,Payne,Canada goose,EA/AM H5N1
02/10/2026,Indiana,Vigo,Crow (unidentified),EA/AM H5N1
02/10/2026,Colorado,Larimer,Red-tailed hawk,EA H5
02/10/2026,Ohio,Pickaway,Canada goose,EA/AM H5N1
02/10/2026,Ohio,Pickaway,Canada goose,EA/AM H5N1
02/10/2026,Florida,Polk,Vulture (unidentified),EA/AM H5N1
02/10/2026,New Hampshire,Grafton,Mallard,EA H5
02/10/2026,New Hampshire,Grafton,Mallard,EA/AM H5N1
02/10/2026,Oregon,Lake,Snow goose,EA/AM H5N1
02/10/2026,Colorado,Weld,Rock pigeon,EA/AM H5N1
02/10/2026,Pennsylvania,Washington,Canada goose,EA/AM H5N1
02/10/2026,Pennsylvania,Montgomery,Canada goose,EA/AM H5N1
02/10/2026,Pennsylvania,Washington,Canada goose,EA/AM H5N1
02/10/2026,Virginia,Charles City,Bald eagle,EA H5
02/09/2026,Oklahoma,Greer,Cackling goose,EA/AM H5N1
02/09/2026,Oklahoma,Greer,Ross's goose,EA/AM H5N1
02/09/2026,Oklahoma,Greer,Cackling goose,EA/AM H5N1
02/09/2026,Oklahoma,Greer,Snow goose,EA H5
02/09/2026,Illinois,Champaign,Great horned owl,EA/AM H5N1
02/09/2026,Florida,Orange,Turkey vulture,EA/AM H5N1
02/09/2026,Nebraska,Buffalo,Canada goose,EA/AM H5N1
02/09/2026,Nebraska,Buffalo,Canada goose,EA H5
02/09/2026,Oklahoma,Kiowa,Ross's goose,EA H5
02/09/2026,Oklahoma,Kiowa,Canada goose,EA/AM H5N1
02/09/2026,Oklahoma,Kiowa,Canada goose,EA/AM H5N1
02/09/2026,Colorado,Weld,Horned lark,EA H5
02/09/2026,Colorado,Weld,Rock pigeon,EA H5
02/09/2026,Kentucky,Mason,Canada goose,EA H5
02/09/2026,Kentucky,Mason,Canada goose,EA H5
02/09/2026,Pennsylvania,Union,Mallard,EA/AM H5N1
02/09/2026,Pennsylvania,Monroe,Red-shouldered hawk,EA/AM H5N1
02/09/2026,Missouri,Mercer,Canada goose,EA H5
02/08/2026,Mississippi,Claiborne,Wood duck,EA/AM H5N1 mixed
02/08/2026,Mississippi,Claiborne,Owl (unidentified),EA/AM H5N1
02/08/2026,Mississippi,Claiborne,Wood duck,EA/AM H5N1
02/08/2026,Mississippi,Claiborne,Wood duck,EA/AM H5N1
02/08/2026,Iowa,Polk,Red-tailed hawk,EA/AM H5N1
02/08/2026,Colorado,Weld,Rock pigeon,EA H5
02/08/2026,Colorado,Weld,Rock pigeon,EA/AM H5N1
02/08/2026,Colorado,Weld,Rock pigeon,EA H5
02/08/2026,Missouri,Clinton,Canada goose,EA H5
02/07/2026,Mississippi,Amite,Black vulture,EA/AM H5N1
02/07/2026,Mississippi,Amite,Black vulture,EA/AM H5N1
02/07/2026,Mississippi,Amite,Black vulture,EA/AM H5N1
02/07/2026,Colorado,Weld,Horned lark,EA H5
02/06/2026,New Jersey,Atlantic,Great black-backed gull,EA/AM H5N1
02/06/2026,Kansas,Sedgwick,Canada goose,EA/AM H5N1
02/06/2026,Kansas,Sedgwick,Canada goose,EA/AM H5N1
02/06/2026,Maine,Lincoln,Mallard,EA H5
02/06/2026,Maine,Kennebec,Mallard,EA/AM H5
02/06/2026,Indiana,Dearborn,Vulture (unidentified),EA/AM H5N1
02/06/2026,Wyoming,Platte,Bald eagle,EA H5
02/06/2026,Colorado,Broomfield,Great horned owl,EA/AM H5N1
02/06/2026,California,Sacramento,Canada goose,EA/AM H5N1
02/06/2026,Maine,Kennebec,Mallard,EA/AM H5N1
02/05/2026,Michigan,Oceana,Canada goose,EA/AM H5N1
02/05/2026,Michigan,Newaygo,Bald eagle,EA/AM H5N1
02/05/2026,Minnesota,Dakota,Canada goose,EA/AM H5N1
02/05/2026,New Hampshire,Belknap,Mallard,EA H5
02/05/2026,New Hampshire,Belknap,Mallard,EA H5
02/05/2026,Michigan,Ingham,Mallard,EA/AM H5N1
02/05/2026,Minnesota,Scott,Mallard,EA/AM H5N1
02/05/2026,California,Yolo,Snow goose,EA/AM H5N1
02/05/2026,Maine,Penobscot,Mallard,EA H5
02/05/2026,Colorado,Larimer,Great horned owl,EA/AM H5N1
02/04/2026,Iowa,Polk,Red-tailed hawk,EA/AM H5N1
02/04/2026,Iowa,Polk,Canada goose,EA/AM H5N1
02/04/2026,Iowa,Story,American crow,EA/AM H5N1
02/04/2026,Iowa,Story,American crow,EA/AM H5N1
02/04/2026,Connecticut,Litchfield,Canada goose,EA/AM H5N1
02/04/2026,Arizona,Maricopa,Canada goose,EA H5
02/04/2026,New York,Dutchess,Canada goose,EA/AM H5N1
02/04/2026,New York,Dutchess,Canada goose,EA/AM H5N1
02/04/2026,New York,Dutchess,Canada goose,EA/AM H5N1
02/04/2026,New York,Orange,Canada goose,EA/AM H5N1
02/04/2026,New York,Orange,Canada goose,EA/AM H5N1
02/04/2026,New York,Orange,Canada goose,EA/AM H5N1
02/04/2026,New York,Orange,American crow,EA/AM H5N1
02/04/2026,New York,Orange,American crow,EA/AM H5N1
02/04/2026,New York,Orange,American crow,EA/AM H5N1
02/04/2026,New York,Orange,American crow,EA/AM H5N1
02/04/2026,Ohio,Hancock,Canada goose,EA/AM H5N1
02/04/2026,Colorado,Adams,Goose (unidentified),EA/AM H5N1
02/04/2026,Nebraska,Buffalo,Goose (unidentified),EA H5
02/04/2026,Nebraska,Buffalo,Goose (unidentified),EA H5
02/04/2026,Alaska,Matanuska-Susitna,Mallard,EA H5N1
02/04/2026,Alaska,Matanuska-Susitna,Mallard,EA H5
02/04/2026,California,San Luis Obispo,Turkey vulture,EA H5N1
02/04/2026,California,San Luis Obispo,American white pelican,EA H5
02/04/2026,California,Los Angeles,Turkey vulture,EA H5N1
02/04/2026,Pennsylvania,Bucks,Great blue heron,EA H5
